city,lat,lon
Jakarta,-6.1754049,106.827168
Jeddah,21.5504432,39.1742363
Jerusalem,31.7788472,35.2257856
Johannesburg,-26.205,28.049722
Kabul,34.5269503,69.1850584
Kampala,0.3177137,32.5813539
Kanpur,26.4609135,80.3217588
Karachi,24.8546842,67.0207055
Kathmandu,27.708317,85.3205817
Kawasaki,35.5306639,139.7037668
Khartoum,15.5635972,32.5349123
Kuala_Lumpur,3.1516964,101.6942371
Kuwait,29.3796532,47.9734174
Las_Vegas,36.1674263,-115.1484131
Lima,-12.0459808,-77.0305912
Lisbon,38.7077507,-9.1365919
Liverpool,53.3933411,-2.9166389
Ljubljana,46.0500268,14.5069289
London,51.5074456,-0.1277653
Lucknow,26.8381,80.9346001
Lusaka,-15.4163395,28.2818414
Lyon,45.7578137,4.8320114
Madrid,40.416782,-3.703507
Makkah,21.420847,39.826869
Malaga,36.7647913,-4.4422005
Malm,58.8755,16.8137073
Manama,26.2235041,50.5822436
Manchester,53.4424618,-2.2324547
Manila,14.5904492,120.9803621
Marseille,43.2963986,5.3777888
Medina,24.471153,39.6111216
Melbourne,-37.8142454,144.9631732
Memphis,35.146026,-90.0517786
Mexico_City,19.3207722,-99.1514678
Miami,25.7741566,-80.1935973
Milan,45.4641943,9.1896346
Milwaukee,43.0386475,-87.9090751
Minneapolis,44.9772995,-93.2654692
Minsk,53.9024716,27.5618225
Mogadishu,2.0349312,45.3419183
Montevideo,-34.9058916,-56.1913095
Montreal,45.5031824,-73.5698065
Moscow,55.625578,37.6063916
Mumbai,19.054999,72.8692035
Muscat,23.6123628,58.5938134
Nairobi,-1.302398,36.8288509
Nashville,36.1622767,-86.7742984
Nassau,25.0782266,-77.3383438
New_Orleans,29.9561422,-90.0733934
Nicosia,35.1746503,33.3638783
Nottingham,52.9534193,-1.1496461
Oklahoma,34.9550817,-97.2684063
Osaka,34.6937569,135.5014539
Philadelphia,39.9527237,-75.1635262
Phnom_Penh,11.5730391,104.857807
Phuket,7.9366015,98.3529292
Prague,50.0874654,14.4212535
Pyongyang,39.0167979,125.7473609
Riga,56.9493977,24.1051846
Rio_de_Janeiro,-22.9110137,-43.2093727
Riyadh,24.638916,46.7160104
San_Jose,37.3361663,-121.890591
Seattle,47.6038321,-122.330062
Seoul,37.5666791,126.9782914
Shanghai,31.2312707,121.4700152
Shenzhen,22.5445741,114.0545429
Sofia,42.6977028,23.3217359
Stockholm,59.3251172,18.0710935
Taipei,25.0375198,121.5636796
Talinn,36.6301495,2.3801486
Thimphu,27.4713546,89.6336729
Tokyo,35.6768601,139.7638947
Tripoli,32.896672,13.1777923
Venice,45.4046171,12.3105232
Vienna,48.2083537,16.3725042
Warsaw,52.2333742,21.0711489
Washington_DC,38.8950982,-77.0363849
Wellington,-41.2887953,174.7772114
Yaounde,3.8689867,11.5213344
Zagreb,45.8130967,15.9772795
